"Name","Level","TID","InfoTID","Action","ActionCount","ActionData","ExpReward","DiamondReward","IconSWF","IconExportName"
"com.supercell.magic.castlelevel2",2,"TID_ACHIEVEMENT_CASTLE_TITLE","TID_ACHIEVEMENT_CASTLE_UPGRADE","upgrade",4,"Alliance Castle",1000,20,,
,,,,,,,,,,
"com.supercell.magic.destroywalls0",0,"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","TID_ACHIEVEMENT_DESTROY_WALLS","destroy",10,"Wall",10,5,,
"com.supercell.magic.destroywalls1",1,"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","TID_ACHIEVEMENT_DESTROY_WALLS","destroy",100,"Wall",100,10,,
"com.supercell.magic.destroywalls2",2,"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","TID_ACHIEVEMENT_DESTROY_WALLS","destroy",2000,"Wall",1000,20,,
,,,,,,,,,,
"com.supercell.magic.destroytownhall0",0,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",10,"Town Hall",10,5,,
"com.supercell.magic.destroytownhall1",1,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",100,"Town Hall",100,10,,
"com.supercell.magic.destroytownhall2",2,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",2000,"Town Hall",1000,50,,
,,,,,,,,,,
"com.supercell.magic.destroybuilder0",0,"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","TID_ACHIEVEMENT_DESTROY_BUILDER","destroy",25,"Worker Building",10,5,,
"com.supercell.magic.destroybuilder1",1,"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","TID_ACHIEVEMENT_DESTROY_BUILDER","destroy",250,"Worker Building",100,10,,
"com.supercell.magic.destroybuilder2",2,"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","TID_ACHIEVEMENT_DESTROY_BUILDER","destroy",2500,"Worker Building",1000,30,,
,,,,,,,,,,
"com.supercell.magic.pvpattacks0",0,"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","TID_ACHIEVEMENT_PVP_ATTACKS","win_pvp_attack",25,,10,5,,
"com.supercell.magic.pvpattacks1",1,"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","TID_ACHIEVEMENT_PVP_ATTACKS","win_pvp_attack",250,,100,10,,
"com.supercell.magic.pvpattacks2",2,"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","TID_ACHIEVEMENT_PVP_ATTACKS","win_pvp_attack",5000,,1000,20,,
,,,,,,,,,,
"com.supercell.magic.pvpdefenses0",0,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",10,,10,5,,
"com.supercell.magic.pvpdefenses1",1,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",250,,100,50,,
"com.supercell.magic.pvpdefenses2",2,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",5000,,1000,100,,
,,,,,,,,,,
"com.supercell.magic.donateunits0",0,"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","TID_ACHIEVEMENT_DONATE_UNITS","donate_units",100,,10,5,,
"com.supercell.magic.donateunits1",1,"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","TID_ACHIEVEMENT_DONATE_UNITS","donate_units",5000,,100,25,,
"com.supercell.magic.donateunits2",2,"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","TID_ACHIEVEMENT_DONATE_UNITS","donate_units",25000,,1000,250,,
