TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_ATTACK_FAIL_NEWBIE_PROTECTED,Can't attack this village because its Town Hall is below level <number>.,Attaque impossible ! L'hôtel de ville de ce village est en-dessous du niveau <number>.,"Angriff auf dieses Dorf nicht möglich, da das Rathaus unter Level <number> liegt.",No se puede atacar porque su ayuntamiento tiene un nivel inferior a <number>.,Non è possibile attaccare questo villaggio perché il livello del Municipio è inferiore a <number>.,Je kunt dit dorp niet aanvallen omdat het level van het stadhuis lager is dan <number>.,Kan ikke angripe denne landsbyen fordi rådhuset dens er under nivå <number>.,Não é possível atacar essa aldeia porque seu Centro da Cidade está abaixo do nível <number>.,Köy Binası <number>. seviyenin altında olduğundan bu köye saldırılamaz.
TID_DEFAULT_VILLAGE_NAME,<name>'s Village,Village de <name>,Dorf von <name>,Aldea de <name>,Villaggio di <name>,<name>'s dorp,<name>s landsby,Vila <name>,<name> Köyü
TID_BATTLE_LOG_TITLE,You've been attacked!,Vous avez été attaqué !,Du wurdest angegriffen!,¡Te han atacado!,Sei stato attaccato!,Je bent aangevallen!,Du er blitt angrepet!,Você foi atacado!,Saldırıya uğradın!
TID_BATTLE_LOG_ITEM,<name> attacked you <time> ago.,<name> vous a attaqué il y a <time>.,<name> hat dich vor <time> angegriffen.,<name> te ha atacado hace <time>.,<name> ti ha attaccato <time> fa.,<name> heeft je <time> geleden aangevallen.,<name> angrep deg for <time> siden.,<name> atacou <time> atrás.,<name> sana <time> önce saldırdı.
TID_NO_TROOPS,You need to train some troops first.,Vous devez d'abord former des troupes.,Du musst zuerst ein paar Truppen trainieren.,Primero debes preparar las tropas.,Devi prima addestrare delle truppe.,Je moet eerst wat troepen trainen.,Du må trene noen soldater først.,Você precisa treinar algumas tropas primeiro.,Önce daha fazla asker eğitmelisin.
TID_ERROR_POP_UP_BANNED_TITLE,You have been banned!,Vous avez été banni !,Du wurdest gebannt!,¡Has sido expulsado!,Sei stato bandito!,Je bent verbannen!,Du er blitt utestengt!,Você foi banido!,Yasaklandınız!
TID_ERROR_POP_UP_BANNED,You have been banned temporarily,Vous avez été banni temporairement !,Du wurdest vorübergehend gebannt,¡Has sido expulsado temporalmente!,Sei stato bandito temporaneamente,Je bent tijdelijk verbannen,Du er blitt midlertidig utestengt,Você foi banido temporariamente,Geçici olarak yasaklandınız
TID_ERROR_POP_UP_BANNED_BUTTON,Okay,OK,Okay,Vale,OK,Oké,OK,Ok,Tamam
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Connection error,Erreur de connexion,Verbindungsfehler,Error de conexión,Errore di connessione,Verbindingsfout,Tilkoblingsfeil,Erro de conexão,Bağlantı hatası
TID_ERROR_POP_UP_CONNECTION_FAILED,Unable to connect with the server. Check your internet connection and try again.,Connexion au serveur impossible. Veuillez vérifier votre connexion Internet et réessayer.,Verbindung mit dem Server nicht möglich. Überprüfe deine Internetverbindung und versuche es erneut.,No se ha podido conectar con el servidor. Revisa la conexión a internet y vuelve a intentarlo.,Non è stato possibile connettersi al server. Controlla la connessione a Internet e riprova.,Geen verbinding mogelijk met de server. Controleer je internetverbinding en probeer het nog eens.,Oppnår ikke kontakt med serveren. Kontroller Internettforbindelsen og prøv igjen.,Não foi possível conectar com o servidor. Verifique sua conexão de internet e tente novamente.,Sunucuya bağlanılamıyor. Internet bağlantını kontrol et ve tekrar dene.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Connection lost,Connexion perdue,Verbindung verloren,Conexión perdida,Connessione persa,Verbinding verbroken,Forbindelse brutt,Conexão perdida,Bağlantı koptu
TID_ERROR_POP_UP_CONNECTION_LOST,You have lost connection with the server. Check your internet connection and try again.,Connexion au serveur perdue. Veuillez vérifier votre connexion Internet et réessayer.,Du hast die Verbindung mit dem Server verloren. Überprüfe deine Internetverbindung und versuche es erneut.,Se ha perdido la conexión con el servidor. Revisa la conexión a internet y vuelve a intentarlo.,La connessione al server è stata persa. Controlla la connessione a Internet e riprova.,De verbinding met de server is verbroken. Controleer je internetverbinding en probeer het nog eens.,Du har mistet forbindelsen med serveren. Kontroller Internettforbindelsen og prøv igjen.,Conexão perdida com o servidor. Verifique sua conexão de internet e tente novamente.,Sunucu bağlantın koptu. Internet bağlantını kontrol et ve tekrar dene.
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Anyone there?,Il y a quelqu'un ?,Jemand da?,¿Hay alguien?,C´è nessuno?,Is daar iemand?,Noen der?,Alguém aí?,Kimse var mı?
TID_ERROR_POP_UP_AUTO_DISCONNECTED,Click the button below to reload the game.,Cliquez sur le bouton ci-dessous pour relancer le jeu.,"Klicke auf den Button unten, um das Spiel neu zu laden.",Haz clic en el icono para volver a cargar.,Fai click sul pulsante qui sotto per ricaricare il gioco.,Klik op onderstaande knop om het spel opnieuw te laden.,Klikk på knappen under for å starte spillet på nytt.,Clique no botão abaixo para recarregar o jogo.,Oyunu tekrar yüklemek için aşağıdaki düğmeyi tıklat.
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Reload game,Relancer le jeu,Spiel neu laden,Volver a cargar,Ricarica gioco,Spel herladen,Omstart spill,Recarregar jogo,Oyunu t. yükle
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Login failed,Échec de l'identification,Anmeldung fehlgeschlagen,Fallo al conectar,Accesso non riuscito,Inloggen is mislukt,Pålogging mislyktes,Falha no login,Oturum açılamadı
TID_ERROR_POP_UP_LOGIN_FAILED,Please try again later.,Veuillez réessayer plus tard.,Bitte versuche es später erneut.,Inténtalo de nuevo más tarde.,Riprova più tardi.,Probeer het later nog eens.,Prøv igjen senere.,"Por favor, tente novamente mais tarde.",Lütfen daha sonra tekrar dene.
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Update is available!,Une mise à jour est disponible !,Update verfügbar!,¡Actualización disponible!,È disponibile un aggiornamento!,Er is een update beschikbaar!,Oppdatering er tilgjengelig!,Atualização disponível!,Güncelleme var!
